No	Abbreviated Journal Title	Full Journal Title	ISSN	SUBJECT
1907	EKSPLOAT NIEZAWODN	EKSPLOATACJA I NIEZAWODNOSC-MAINTENANCE AND RELIABILITY	1507-2711	ENGINEERING, MULTIDISCIPLINARY
1908	ELECTR ENG	ELECTRICAL ENGINEERING	0948-7921	ENGINEERING, ELECTRICAL & ELECTRONIC
1909	ELECTR POW COMPO SYS	ELECTRIC POWER COMPONENTS AND SYSTEMS	1532-5008	ENGINEERING, ELECTRICAL & ELECTRONIC
1910	ELECTR POW SYST RES	ELECTRIC POWER SYSTEMS RESEARCH	0378-7796	ENGINEERING, ELECTRICAL & ELECTRONIC
1911	ELECTROANAL	ELECTROANALYSIS	1040-0397	CHEMISTRY, ANALYTICAL; ELECTROCHEMISTRY
1912	ELECTROCATALYSIS-US	ELECTROCATALYSIS	1868-2529	ELECTROCHEMISTRY; CHEMISTRY, PHYSICAL
1913	ELECTROCHEM COMMUN	ELECTROCHEMISTRY COMMUNICATIONS	1388-2481	ELECTROCHEMISTRY
1914	ELECTROCHIM ACTA	ELECTROCHIMICA ACTA	0013-4686	ELECTROCHEMISTRY
1915	ELECTROMAGN BIOL MED	ELECTROMAGNETIC BIOLOGY AND MEDICINE	1536-8378	BIOLOGY
1916	ELECTROMAGNETICS	ELECTROMAGNETICS	0272-6343	ENGINEERING, ELECTRICAL & ELECTRONIC
1917	ELECTRON COMMER R A	ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS	1567-4223	COMPUTER SCIENCE, INFORMATION SYSTEMS; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
1918	ELECTRON J COMB	ELECTRONIC JOURNAL OF COMBINATORICS	1077-8926	MATHEMATICS
1919	ELECTRON J DIFFER EQ	ELECTRONIC JOURNAL OF DIFFERENTIAL EQUATIONS	1072-6691	MATHEMATICS
1920	ELECTRON J PROBAB	ELECTRONIC JOURNAL OF PROBABILITY	1083-6489	STATISTICS & PROBABILITY
1921	ELECTRON J QUAL THEO	ELECTRONIC JOURNAL OF QUALITATIVE THEORY OF DIFFERENTIAL EQUATIONS	1417-3875	MATHEMATICS
1922	ELECTRON J STAT	ELECTRONIC JOURNAL OF STATISTICS	1935-7524	STATISTICS & PROBABILITY
1923	ELECTRON LETT	ELECTRONICS LETTERS	0013-5194	ENGINEERING, ELECTRICAL & ELECTRONIC
1924	ELECTRON MATER LETT	ELECTRONIC MATERIALS LETTERS	1738-8090	MATERIALS SCIENCE, MULTIDISCIPLINARY
1925	ELECTRON T NUMER ANA	ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS	1068-9613	MATHEMATICS, APPLIED
1926	ELECTROPHORESIS	ELECTROPHORESIS	0173-0835	BIOCHEMICAL RESEARCH METHODS; CHEMISTRY, ANALYTICAL
1927	ELEMENTS	ELEMENTS	1811-5209	MINERALOGY; GEOCHEMISTRY & GEOPHYSICS
1928	ELIFE	ELIFE	2050-084X	BIOLOGY
1929	EMBO J	EMBO JOURNAL	0261-4189	CELL BIOLOGY; BIOCHEMISTRY & MOLECULAR BIOLOGY
1930	EMBO MOL MED	EMBO MOLECULAR MEDICINE	1757-4676	MEDICINE, RESEARCH & EXPERIMENTAL
1931	EMBO REP	EMBO REPORTS	1469-221X	CELL BIOLOGY; BIOCHEMISTRY & MOLECULAR BIOLOGY
1932	EMERG INFECT DIS	EMERGING INFECTIOUS DISEASES	1080-6040	IMMUNOLOGY; INFECTIOUS DISEASES
1933	EMERG MED AUSTRALAS	EMERGENCY MEDICINE AUSTRALASIA	1742-6731	EMERGENCY MEDICINE
1934	EMERG MED J	EMERGENCY MEDICINE JOURNAL	1472-0205	EMERGENCY MEDICINE
1935	EMERG MICROBES INFEC	EMERGING MICROBES & INFECTIONS	2222-1751	MICROBIOLOGY; IMMUNOLOGY
1936	EMERGENCIAS	EMERGENCIAS	1137-6821	EMERGENCY MEDICINE
1937	EMPIR SOFTW ENG	EMPIRICAL SOFTWARE ENGINEERING	1382-3256	COMPUTER SCIENCE, SOFTWARE ENGINEERING
1938	EMU	EMU	0158-4197	ORNITHOLOGY
1939	ENDOCR J	ENDOCRINE JOURNAL	0918-8959	ENDOCRINOLOGY & METABOLISM
1940	ENDOCR PATHOL	ENDOCRINE PATHOLOGY	1046-3976	PATHOLOGY; ENDOCRINOLOGY & METABOLISM
1941	ENDOCR PRACT	ENDOCRINE PRACTICE	1530-891X	ENDOCRINOLOGY & METABOLISM
1942	ENDOCR RES	ENDOCRINE RESEARCH	0743-5800	ENDOCRINOLOGY & METABOLISM
1943	ENDOCR REV	ENDOCRINE REVIEWS	0163-769X	ENDOCRINOLOGY & METABOLISM
1944	ENDOCRIN METAB CLIN	ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA	0889-8529	ENDOCRINOLOGY & METABOLISM
1945	ENDOCRINE	ENDOCRINE	1355-008X	ENDOCRINOLOGY & METABOLISM
1946	ENDOCRINOLOGY	ENDOCRINOLOGY	0013-7227	ENDOCRINOLOGY & METABOLISM
1947	ENDOCR-RELAT CANCER	ENDOCRINE-RELATED CANCER	1351-0088	ENDOCRINOLOGY & METABOLISM; ONCOLOGY
1948	ENDOSC ULTRASOUND	ENDOSCOPIC ULTRASOUND	2303-9027	GASTROENTEROLOGY & HEPATOLOGY
1949	ENDOSCOPY	ENDOSCOPY	0013-726X	GASTROENTEROLOGY & HEPATOLOGY; SURGERY
1950	ENERG BUILDINGS	ENERGY AND BUILDINGS	0378-7788	ENERGY & FUELS; CONSTRUCTION & BUILDING TECHNOLOGY; ENGINEERING, CIVIL
1951	ENERG CONVERS MANAGE	ENERGY CONVERSION AND MANAGEMENT	0196-8904	THERMODYNAMICS; PHYSICS, NUCLEAR; ENERGY & FUELS; MECHANICS
1952	ENERG ENVIRON SCI	ENERGY & ENVIRONMENTAL SCIENCE	1754-5692	CHEMISTRY, MULTIDISCIPLINARY; ENERGY & FUELS; ENVIRONMENTAL SCIENCES; ENGINEERING, CHEMICAL
1953	ENERG FUEL	ENERGY & FUELS	0887-0624	ENERGY & FUELS; STATISTICS & PROBABILITY; CHEMISTRY, ANALYTICAL; AUTOMATION & CONTROL SYSTEMS; ENGINEERING, CHEMICAL
1954	ENERG J	ENERGY JOURNAL	0195-6574	ENERGY & FUELS
1955	ENERG POLICY	ENERGY POLICY	0301-4215	ENVIRONMENTAL SCIENCES; ENERGY & FUELS
1956	ENERG SOURCE PART A	ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS	1556-7036	ENERGY & FUELS; ENGINEERING, CHEMICAL
1957	ENERG SOURCE PART B	ENERGY SOURCES PART B-ECONOMICS PLANNING AND POLICY	1556-7249	ENERGY & FUELS
1958	ENERGIES	ENERGIES	1996-1073	ENERGY & FUELS
1959	ENERGY	ENERGY	0360-5442	THERMODYNAMICS; ENERGY & FUELS
1960	ENERGY SUSTAIN DEV	ENERGY FOR SUSTAINABLE DEVELOPMENT	0973-0826	GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; ENERGY & FUELS
1961	ENERGY TECHNOL-GER	ENERGY TECHNOLOGY	2194-4288	ENERGY & FUELS
1962	ENG ANAL BOUND ELEM	ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS	0955-7997	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS; ENGINEERING, MULTIDISCIPLINARY
1963	ENG APPL ARTIF INTEL	ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE	0952-1976	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE; AUTOMATION & CONTROL SYSTEMS; ENGINEERING, ELECTRICAL & ELECTRONIC; ENGINEERING, MULTIDISCIPLINARY
1964	ENG APPL COMP FLUID	ENGINEERING APPLICATIONS OF COMPUTATIONAL FLUID MECHANICS	1994-2060	ENGINEERING, MECHANICAL; ENGINEERING, MULTIDISCIPLINARY; MECHANICS
1965	ENG COMPUTATION	ENGINEERING COMPUTATIONS	0264-4401	MECHANICS
1966	ENG COMPUT-GERMANY	ENGINEERING WITH COMPUTERS	0177-0667	ENGINEERING, MECHANICAL
1967	ENG FAIL ANAL	ENGINEERING FAILURE ANALYSIS	1350-6307	ENGINEERING, MECHANICAL; MATERIALS SCIENCE, CHARACTERIZATION & TESTING
1968	ENG FRACT MECH	ENGINEERING FRACTURE MECHANICS	0013-7944	MECHANICS
1969	ENG GEOL	ENGINEERING GEOLOGY	0013-7952	GEOSCIENCES, MULTIDISCIPLINARY; ENGINEERING, GEOLOGICAL
1970	ENG LIFE SCI	ENGINEERING IN LIFE SCIENCES	1618-0240	BIOTECHNOLOGY & APPLIED MICROBIOLOGY
1971	ENG OPTIMIZ	ENGINEERING OPTIMIZATION	0305-215X	OPERATIONS RESEARCH & MANAGEMENT SCIENCE; ENGINEERING, MULTIDISCIPLINARY
1972	ENG STRUCT	ENGINEERING STRUCTURES	0141-0296	ENGINEERING, CIVIL
1973	ENG STUD	ENGINEERING STUDIES	1937-8629	HISTORY & PHILOSOPHY OF SCIENCE
1974	ENTERP INF SYST-UK	ENTERPRISE INFORMATION SYSTEMS	1751-7575	COMPUTER SCIENCE, INFORMATION SYSTEMS
1975	ENTOMOL EXP APPL	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA	0013-8703	ENTOMOLOGY
1976	ENTOMOL SCI	ENTOMOLOGICAL SCIENCE	1343-8786	ENTOMOLOGY
1977	ENTROPY-SWITZ	ENTROPY	1099-4300	PHYSICS, MULTIDISCIPLINARY
1978	ENV MICROBIOL REP	ENVIRONMENTAL MICROBIOLOGY REPORTS	1758-2229	MICROBIOLOGY; ENVIRONMENTAL SCIENCES
1979	ENVIRON BIOL FISH	ENVIRONMENTAL BIOLOGY OF FISHES	0378-1909	MARINE & FRESHWATER BIOLOGY; ECOLOGY
1980	ENVIRON CHEM	ENVIRONMENTAL CHEMISTRY	1448-2517	CHEMISTRY, ANALYTICAL; ENVIRONMENTAL SCIENCES
1981	ENVIRON CHEM LETT	ENVIRONMENTAL CHEMISTRY LETTERS	1610-3653	ENVIRONMENTAL SCIENCES; CHEMISTRY, MULTIDISCIPLINARY; ENGINEERING, ENVIRONMENTAL
1982	ENVIRON CONSERV	ENVIRONMENTAL CONSERVATION	0376-8929	ENVIRONMENTAL SCIENCES; BIODIVERSITY CONSERVATION
1983	ENVIRON ECOL STAT	ENVIRONMENTAL AND ECOLOGICAL STATISTICS	1352-8505	STATISTICS & PROBABILITY
1984	ENVIRON ENG SCI	ENVIRONMENTAL ENGINEERING SCIENCE	1092-8758	ENVIRONMENTAL SCIENCES; ENGINEERING, ENVIRONMENTAL
1985	ENVIRON ENTOMOL	ENVIRONMENTAL ENTOMOLOGY	0046-225X	ENTOMOLOGY
1986	ENVIRON EXP BOT	ENVIRONMENTAL AND EXPERIMENTAL BOTANY	0098-8472	PLANT SCIENCES; ENVIRONMENTAL SCIENCES
1987	ENVIRON FLUID MECH	ENVIRONMENTAL FLUID MECHANICS	1567-7419	WATER RESOURCES; OCEANOGRAPHY; ENVIRONMENTAL SCIENCES; MECHANICS
1988	ENVIRON GEOCHEM HLTH	ENVIRONMENTAL GEOCHEMISTRY AND HEALTH	0269-4042	WATER RESOURCES; PUBLIC, ENVIRONMENTAL & OCC; ENVIRONMENTAL SCIENCES; ENGINEERING, ENVIRONMENTAL
1989	ENVIRON HEALTH PERSP	ENVIRONMENTAL HEALTH PERSPECTIVES	0091-6765	TOXICOLOGY; ENVIRONMENTAL SCIENCES; PUBLIC, ENVIRONMENTAL & OCC
1990	ENVIRON HEALTH-GLOB	ENVIRONMENTAL HEALTH	1476-069X	ENVIRONMENTAL SCIENCES; PUBLIC, ENVIRONMENTAL & OCC
1991	ENVIRON INT	ENVIRONMENT INTERNATIONAL	0160-4120	ENVIRONMENTAL SCIENCES
1992	ENVIRON MANAGE	ENVIRONMENTAL MANAGEMENT	0364-152X	ENVIRONMENTAL SCIENCES
1993	ENVIRON MICROBIOL	ENVIRONMENTAL MICROBIOLOGY	1462-2912	MICROBIOLOGY
1994	ENVIRON MODELL SOFTW	ENVIRONMENTAL MODELLING & SOFTWARE	1364-8152	ENVIRONMENTAL SCIENCES; ENGINEERING, ENVIRONMENTAL; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
1995	ENVIRON MOL MUTAGEN	ENVIRONMENTAL AND MOLECULAR MUTAGENESIS	0893-6692	TOXICOLOGY; ENVIRONMENTAL SCIENCES; GENETICS & HEREDITY
1996	ENVIRON MONIT ASSESS	ENVIRONMENTAL MONITORING AND ASSESSMENT	0167-6369	ENVIRONMENTAL SCIENCES
1997	ENVIRON POLLUT	ENVIRONMENTAL POLLUTION	0269-7491	ENVIRONMENTAL SCIENCES
1998	ENVIRON PROG SUSTAIN	ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY	1944-7442	ENGINEERING, CHEMICAL; ENGINEERING, ENVIRONMENTAL; GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; ENVIRONMENTAL SCIENCES
1999	ENVIRON RES	ENVIRONMENTAL RESEARCH	0013-9351	ENVIRONMENTAL SCIENCES; PUBLIC, ENVIRONMENTAL & OCC
2000	ENVIRON RES LETT	ENVIRONMENTAL RESEARCH LETTERS	1748-9326	ENVIRONMENTAL SCIENCES; METEOROLOGY & ATMOSPHERIC SCIENCES
2001	ENVIRON REV	ENVIRONMENTAL REVIEWS	1208-6053	ENVIRONMENTAL SCIENCES
2002	ENVIRON SCI POLICY	ENVIRONMENTAL SCIENCE & POLICY	1462-9011	ENVIRONMENTAL SCIENCES
2003	ENVIRON SCI POLLUT R	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	0944-1344	ENVIRONMENTAL SCIENCES
2004	ENVIRON SCI TECH LET	ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS	2328-8930	ENGINEERING, ENVIRONMENTAL; ENVIRONMENTAL SCIENCES
2005	ENVIRON SCI TECHNOL	ENVIRONMENTAL SCIENCE & TECHNOLOGY	0013-936X	ENGINEERING, ENVIRONMENTAL; ENVIRONMENTAL SCIENCES
2006	ENVIRON SCI-NANO	ENVIRONMENTAL SCIENCE-NANO	2051-8153	CHEMISTRY, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY; ENVIRONMENTAL SCIENCES
2007	ENVIRON SCI-PROC IMP	ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS	2050-7887	CHEMISTRY, ANALYTICAL; ENVIRONMENTAL SCIENCES
2008	ENVIRON TECHNOL	ENVIRONMENTAL TECHNOLOGY	0959-3330	ENVIRONMENTAL SCIENCES
2009	ENVIRON TOXICOL	ENVIRONMENTAL TOXICOLOGY	1520-4081	TOXICOLOGY; ENVIRONMENTAL SCIENCES; WATER RESOURCES
2010	ENVIRON TOXICOL CHEM	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	0730-7268	TOXICOLOGY; ENVIRONMENTAL SCIENCES
2011	ENVIRON TOXICOL PHAR	ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY	1382-6689	TOXICOLOGY; PHARMACOLOGY & PHARMACY; ENVIRONMENTAL SCIENCES
2012	ENVIRONMENT	ENVIRONMENT	0013-9157	ENVIRONMENTAL SCIENCES
2013	ENVIRONMETRICS	ENVIRONMETRICS	1180-4009	STATISTICS & PROBABILITY; MATHEMATICS, INTERDISCIPLINARY APPLICATIONS; ENVIRONMENTAL SCIENCES
2014	ENZYME MICROB TECH	ENZYME AND MICROBIAL TECHNOLOGY	0141-0229	BIOTECHNOLOGY & APPLIED MICROBIOLOGY
2015	EPIDEMICS-NETH	EPIDEMICS	1755-4365	INFECTIOUS DISEASES
2016	EPIDEMIOL INFECT	EPIDEMIOLOGY AND INFECTION	0950-2688	PUBLIC, ENVIRONMENTAL & OCC; INFECTIOUS DISEASES
2017	EPIDEMIOL PSYCH SCI	EPIDEMIOLOGY AND PSYCHIATRIC SCIENCES	2045-7960	PSYCHIATRY
2018	EPIDEMIOL REV	EPIDEMIOLOGIC REVIEWS	0193-936X	PUBLIC, ENVIRONMENTAL & OCC
2019	EPIDEMIOLOGY	EPIDEMIOLOGY	1044-3983	PUBLIC, ENVIRONMENTAL & OCC
2020	EPIGENET CHROMATIN	EPIGENETICS & CHROMATIN	1756-8935	GENETICS & HEREDITY
2021	EPIGENETICS-US	EPIGENETICS	1559-2294	BIOCHEMISTRY & MOLECULAR BIOLOGY; GENETICS & HEREDITY
2022	EPIGENOMICS-UK	EPIGENOMICS	1750-1911	GENETICS & HEREDITY
2023	EPILEPSIA	EPILEPSIA	0013-9580	CLINICAL NEUROLOGY
2024	EPILEPSY BEHAV	EPILEPSY & BEHAVIOR	1525-5050	CLINICAL NEUROLOGY ; PSYCHIATRY
2025	EPILEPSY CURR	EPILEPSY CURRENTS	1535-7597	CLINICAL NEUROLOGY
2026	EPILEPSY RES	EPILEPSY RESEARCH	0920-1211	CLINICAL NEUROLOGY
2027	EPISODES	EPISODES	0705-3797	GEOSCIENCES, MULTIDISCIPLINARY
2028	EPJ DATA SCI	EPJ DATA SCIENCE	2193-1127	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS
2029	EPL-EUROPHYS LETT	EPL	0295-5075	PHYSICS, MULTIDISCIPLINARY
2030	E-POLYMERS	E-POLYMERS	1618-7229	POLYMER SCIENCE
2031	EQUINE VET EDUC	EQUINE VETERINARY EDUCATION	0957-7734	VETERINARY SCIENCES
2032	EQUINE VET J	EQUINE VETERINARY JOURNAL	0425-1644	VETERINARY SCIENCES
2033	ERGOD THEOR DYN SYST	ERGODIC THEORY AND DYNAMICAL SYSTEMS	0143-3857	MATHEMATICS; MATHEMATICS, APPLIED
2034	ERGONOMICS	ERGONOMICS	0014-0139	PSYCHOLOGY; ENGINEERING, INDUSTRIAL
2035	ESA BULL-EUR SPACE	ESA BULLETIN-EUROPEAN SPACE AGENCY	0376-4265	ENGINEERING, AEROSPACE
2036	ESAIM CONTR OPTIM CA	ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS	1292-8119	MATHEMATICS, APPLIED
2037	ESAIM-MATH MODEL NUM	ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS-MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE	0764-583X	MATHEMATICS, APPLIED
2038	ESSAYS BIOCHEM	ESSAYS IN BIOCHEMISTRY	0071-1365	BIOCHEMISTRY & MOLECULAR BIOLOGY
2039	ESTUAR COAST	ESTUARIES AND COASTS	1559-2723	MARINE & FRESHWATER BIOLOGY; ENVIRONMENTAL SCIENCES
2040	ESTUAR COAST SHELF S	ESTUARINE COASTAL AND SHELF SCIENCE	0272-7714	MARINE & FRESHWATER BIOLOGY; OCEANOGRAPHY
2041	ETHNIC HEALTH	ETHNICITY & HEALTH	1355-7858	MEDICAL ETHICS; PUBLIC, ENVIRONMENTAL & OCC
2042	ETHOL ECOL EVOL	ETHOLOGY ECOLOGY & EVOLUTION	0394-9370	BEHAVIORAL SCIENCES; ZOOLOGY
2043	ETHOLOGY	ETHOLOGY	0179-1613	ZOOLOGY; BEHAVIORAL SCIENCES
2044	ETRI J	ETRI JOURNAL	1225-6463	ENGINEERING, ELECTRICAL & ELECTRONIC; TELECOMMUNICATIONS
2045	EUKARYOT CELL	EUKARYOTIC CELL	1535-9778	MYCOLOGY; MICROBIOLOGY
2046	EUPHYTICA	EUPHYTICA	0014-2336	PLANT SCIENCES; HORTICULTURE; AGRONOMY
2047	EUR ADDICT RES	EUROPEAN ADDICTION RESEARCH	1022-6877	PSYCHIATRY; SUBSTANCE ABUSE
2048	EUR ANN OTORHINOLARY	EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY-HEAD AND NECK DISEASES	1879-7296	OTORHINOLARYNGOLOGY
2049	EUR ARCH OTO-RHINO-L	EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY	0937-4477	OTORHINOLARYNGOLOGY
2050	EUR ARCH PSY CLIN N	EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE	0940-1334	PSYCHIATRY; CLINICAL NEUROLOGY
2051	EUR BIOPHYS J BIOPHY	EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS	0175-7571	BIOPHYSICS
2052	EUR CELLS MATER	EUROPEAN CELLS & MATERIALS	1473-2262	CELL & TISSUE ENGINEERING; ENGINEERING, BIOMEDICAL; MATERIALS SCIENCE, BIOMATERIALS
2053	EUR CHILD ADOLES PSY	EUROPEAN CHILD & ADOLESCENT PSYCHIATRY	1018-8827	PEDIATRICS; PSYCHIATRY
2054	EUR CYTOKINE NETW	EUROPEAN CYTOKINE NETWORK	1148-5493	BIOCHEMISTRY & MOLECULAR BIOLOGY; IMMUNOLOGY; CELL BIOLOGY
2055	EUR FOOD RES TECHNOL	EUROPEAN FOOD RESEARCH AND TECHNOLOGY	1438-2377	FOOD SCIENCE & TECHNOLOGY
2056	EUR HEART J	EUROPEAN HEART JOURNAL	0195-668X	CARDIAC & CARDIOVASCULAR SYSTEMS
2057	EUR HEART J SUPPL	EUROPEAN HEART JOURNAL SUPPLEMENTS	1520-765X	CARDIAC & CARDIOVASCULAR SYSTEMS
2058	EUR HEART J-CARD IMG	EUROPEAN HEART JOURNAL-CARDIOVASCULAR IMAGING	2047-2404	CARDIAC & CARDIOVASCULAR SYSTEMS
2059	EUR J AGRON	EUROPEAN JOURNAL OF AGRONOMY	1161-0301	AGRONOMY
2060	EUR J ANAESTH	EUROPEAN JOURNAL OF ANAESTHESIOLOGY	0265-0215	ANESTHESIOLOGY
2061	EUR J APPL MATH	EUROPEAN JOURNAL OF APPLIED MATHEMATICS	0956-7925	MATHEMATICS, APPLIED
2062	EUR J APPL PHYSIOL	EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY	1439-6319	SPORT SCIENCES; PHYSIOLOGY
2063	EUR J CANCER	EUROPEAN JOURNAL OF CANCER	0959-8049	ONCOLOGY
2064	EUR J CANCER CARE	EUROPEAN JOURNAL OF CANCER CARE	0961-5423	REHABILITATION; HEALTH CARE SCIENCES & SERVICES; NURSING
2065	EUR J CANCER PREV	EUROPEAN JOURNAL OF CANCER PREVENTION	0959-8278	ONCOLOGY
2066	EUR J CARDIO-THORAC	EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY	1010-7940	CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
2067	EUR J CARDIOVASC NUR	EUROPEAN JOURNAL OF CARDIOVASCULAR NURSING	1474-5151	CARDIAC & CARDIOVASCULAR SYSTEMS; NURSING
2068	EUR J CELL BIOL	EUROPEAN JOURNAL OF CELL BIOLOGY	0171-9335	CELL BIOLOGY
2069	EUR J CLIN INVEST	EUROPEAN JOURNAL OF CLINICAL INVESTIGATION	0014-2972	MEDICINE, RESEARCH & EXPERIMENTAL; MEDICINE, GENERAL & INTERNAL
2070	EUR J CLIN MICROBIOL	EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES	0934-9723	MICROBIOLOGY; INFECTIOUS DISEASES
2071	EUR J CLIN NUTR	EUROPEAN JOURNAL OF CLINICAL NUTRITION	0954-3007	NUTRITION & DIETETICS
2072	EUR J CLIN PHARMACOL	EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY	0031-6970	PHARMACOLOGY & PHARMACY
2073	EUR J COMBIN	EUROPEAN JOURNAL OF COMBINATORICS	0195-6698	MATHEMATICS
2074	EUR J CONTROL	EUROPEAN JOURNAL OF CONTROL	0947-3580	AUTOMATION & CONTROL SYSTEMS
2075	EUR J DERMATOL	EUROPEAN JOURNAL OF DERMATOLOGY	1167-1122	DERMATOLOGY
2076	EUR J EMERG MED	EUROPEAN JOURNAL OF EMERGENCY MEDICINE	0969-9546	EMERGENCY MEDICINE
2077	EUR J ENDOCRINOL	EUROPEAN JOURNAL OF ENDOCRINOLOGY	0804-4643	ENDOCRINOLOGY & METABOLISM
2078	EUR J ENTOMOL	EUROPEAN JOURNAL OF ENTOMOLOGY	1802-8829	ENTOMOLOGY
2079	EUR J EPIDEMIOL	EUROPEAN JOURNAL OF EPIDEMIOLOGY	0393-2990	PUBLIC, ENVIRONMENTAL & OCC
2080	EUR J FOREST RES	EUROPEAN JOURNAL OF FOREST RESEARCH	1612-4669	FORESTRY
2081	EUR J GASTROEN HEPAT	EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY	0954-691X	GASTROENTEROLOGY & HEPATOLOGY
2082	EUR J GEN PRACT	EUROPEAN JOURNAL OF GENERAL PRACTICE	1381-4788	MEDICINE, GENERAL & INTERNAL
2083	EUR J HAEMATOL	EUROPEAN JOURNAL OF HAEMATOLOGY	0902-4441	HEMATOLOGY
2084	EUR J HEART FAIL	EUROPEAN JOURNAL OF HEART FAILURE	1388-9842	CARDIAC & CARDIOVASCULAR SYSTEMS
2085	EUR J HISTOCHEM	EUROPEAN JOURNAL OF HISTOCHEMISTRY	1121-760X	CELL BIOLOGY
2086	EUR J HORTIC SCI	EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE	1611-4426	HORTICULTURE
2087	EUR J HUM GENET	EUROPEAN JOURNAL OF HUMAN GENETICS	1018-4813	GENETICS & HEREDITY; BIOCHEMISTRY & MOLECULAR BIOLOGY
2088	EUR J IMMUNOL	EUROPEAN JOURNAL OF IMMUNOLOGY	0014-2980	IMMUNOLOGY
2089	EUR J INFORM SYST	EUROPEAN JOURNAL OF INFORMATION SYSTEMS	0960-085X	COMPUTER SCIENCE, INFORMATION SYSTEMS
2090	EUR J INORG CHEM	EUROPEAN JOURNAL OF INORGANIC CHEMISTRY	1434-1948	CHEMISTRY, INORGANIC & NUCLEAR
2091	EUR J INTERN MED	EUROPEAN JOURNAL OF INTERNAL MEDICINE	0953-6205	MEDICINE, GENERAL & INTERNAL
2092	EUR J LIPID SCI TECH	EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY	1438-7697	NUTRITION & DIETETICS; FOOD SCIENCE & TECHNOLOGY
2093	EUR J MASS SPECTROM	EUROPEAN JOURNAL OF MASS SPECTROMETRY	1469-0667	PHYSICS, ATOMIC, MOLECULAR & CHEMICAL; SPECTROSCOPY
2094	EUR J MECH A-SOLID	EUROPEAN JOURNAL OF MECHANICS A-SOLIDS	0997-7538	MECHANICS
2095	EUR J MECH B-FLUID	EUROPEAN JOURNAL OF MECHANICS B-FLUIDS	0997-7546	PHYSICS, FLUIDS & PLASMAS; MECHANICS
2096	EUR J MED CHEM	EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY	0223-5234	CHEMISTRY, MEDICINAL
2097	EUR J MED GENET	EUROPEAN JOURNAL OF MEDICAL GENETICS	1769-7212	GENETICS & HEREDITY
2098	EUR J MINERAL	EUROPEAN JOURNAL OF MINERALOGY	0935-1221	MINERALOGY
2099	EUR J NEUROL	EUROPEAN JOURNAL OF NEUROLOGY	1351-5101	CLINICAL NEUROLOGY ; NEUROSCIENCES
2100	EUR J NEUROSCI	EUROPEAN JOURNAL OF NEUROSCIENCE	0953-816X	NEUROSCIENCES
2101	EUR J NUCL MED MOL I	EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING	1619-7070	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
2102	EUR J NUTR	EUROPEAN JOURNAL OF NUTRITION	1436-6207	NUTRITION & DIETETICS
2103	EUR J OBSTET GYN R B	EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY	0301-2115	REPRODUCTIVE BIOLOGY; OBSTETRICS & GYNECOLOGY
