Dergi Adı,ISSN,Dergi Puanı,Teşvik Miktarı
JOURNAL OF ENVIRONMENTAL EDUCATION,0095-8964,45.54,1479.61
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,0095-0696,77.77,4233.41
Journal of Environment & Development,1070-4965,67.96,3165.59
JOURNAL OF ENVIRONMENTAL BIOLOGY,0254-8704,8.22,513.57
JOURNAL OF ENTOMOLOGICAL SCIENCE,0749-8004,9.48,519.39
JOURNAL OF THE ENTOMOLOGICAL RESEARCH SOCIETY,1302-0250,10.5,525.01
JOURNAL OF ENHANCED HEAT TRANSFER,1065-5131,11.86,533.89
Journal of Engineering Thermophysics,1810-2328,10.37,524.27
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,0923-4748,43.7,1383.88
Journal of Engineering Research,2307-1877,0.96,500.06
JOURNAL OF ENGINEERING MECHANICS,0733-9399,56.5,2179.3
JOURNAL OF ENGINEERING MATHEMATICS,0022-0833,43.28,1362.72
JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME,0094-4289,32.52,922.14
JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,0742-4795,26.77,759.44
Journal of Engineered Fibers and Fabrics,1558-9250,39.63,1192.3
JOURNAL OF ENGINEERING EDUCATION,1069-4730,100,7500
JOURNAL OF ENGINEERING DESIGN,0954-4828,36.08,1047.52
Journal of Energy in Southern Africa,1021-447X,2.4,500.62
JOURNAL OF THE ENERGY INSTITUTE,1743-9671,4.51,503.03
Journal of Energy Chemistry,2095-4956,31.72,896.68
JOURNAL OF ENERGY RESOURCES TECHNOLOGY-TRANSACTIONS OF THE ASME,0195-0738,10.03,522.32
Journal of Energetic Materials,0737-0652,24.81,714.57
JOURNAL OF ENERGY ENGINEERING,0733-9402,20.15,627.58
JOURNAL OF ENDOVASCULAR THERAPY,1526-6028,68.84,3252.82
JOURNAL OF ENDOUROLOGY,0892-7790,24.84,715.26
JOURNAL OF ENDODONTICS,0099-2399,63.08,2712.49
JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,1720-8386,13.11,543.59
JOURNAL OF ENDOCRINOLOGY,0022-0795,33.95,970.18
JOURNAL OF EMPLOYMENT COUNSELING,0022-0787,4.7,503.36
Journal of Empirical Research on Human Research Ethics,1556-2646,47.73,1602.01
Journal of Empirical Legal Studies,1740-1453,70.53,3423.91
Journal of Empirical Finance,0927-5398,23.25,682.53
JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,1063-4266,53.6,1972.66
Journal of Emergency Nursing,0099-1767,31.04,875.9
JOURNAL OF EMERGENCY MEDICINE,0736-4679,27.16,769.19
Journal of Elementology,1644-2296,2.89,500.99
JOURNAL OF ELECTROSTATICS,0304-3886,17.05,584.07
JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS,0923-8174,8.05,512.85
JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,0368-2048,36.9,1079.13
JOURNAL OF ELECTRONIC PACKAGING,1043-7398,19.53,617.98
JOURNAL OF ELECTRON MICROSCOPY,0022-0744,38.04,1124.82
JOURNAL OF ELECTRONIC MATERIALS,0361-5235,24.93,717.2
JOURNAL OF ELECTRONIC IMAGING,1017-9909,13.26,544.8
Journal of Electronic Commerce Research,1526-6133,9.63,520.15
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,1050-6411,55.04,2073.35
JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,0920-5071,11.9,534.18
JOURNAL OF THE ELECTROCHEMICAL SOCIETY,0013-4651,96.09,6835.46
Journal of Electrochemical Science and Technology,2093-8551,5.84,505.77
JOURNAL OF ELECTROCERAMICS,1385-3449,44.72,1436.15
JOURNAL OF ELECTROCARDIOLOGY,0022-0736,11.76,533.23
JOURNAL OF ELECTROANALYTICAL CHEMISTRY,1572-6657,38.56,1146.49
Journal of Electrical Engineering-Elektrotechnicky Casopis,1335-3632,6.18,506.63
Journal of Electrical Engineering & Technology,1975-0102,7.42,510.51
JOURNAL OF ELASTOMERS AND PLASTICS,0095-2443,5.82,505.73
JOURNAL OF ELASTICITY,0374-3535,60.08,2458.23
JOURNAL OF EDUCATION FOR TEACHING,0260-7476,21.13,643.63
JOURNAL OF EDUCATIONAL RESEARCH,0022-0671,39.04,1166.76
JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION,1047-4412,9.45,519.21
JOURNAL OF EDUCATIONAL PSYCHOLOGY,0022-0663,97.51,7071.85
JOURNAL OF EDUCATION POLICY,0268-0939,51.68,1843.84
JOURNAL OF EDUCATIONAL MEASUREMENT,0022-0655,36.15,1049.93
JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,0735-6331,24.98,718.36
JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,1076-9986,100,7500
JOURNAL OF ECT,1095-0680,11.54,531.67
JOURNAL OF ECONOMETRICS,0304-4076,97.05,6995.58
JOURNAL OF ECONOMIC THEORY,0022-0531,56.89,2208.53
JOURNAL OF ECONOMIC SURVEYS,0950-0804,22.72,672.27
JOURNAL OF ECONOMIC PSYCHOLOGY,0167-4870,19.3,614.58
Journal of Economic Policy Reform,1748-7870,7.64,511.31
JOURNAL OF ECONOMIC PERSPECTIVES,0895-3309,100,7500
JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,1058-6407,58.68,2346.05
JOURNAL OF ECONOMIC LITERATURE,0022-0515,100,7500
JOURNAL OF ECONOMIC ISSUES,0021-3624,3.42,501.52
Journal of Economic Interaction and Coordination,1860-711X,8.45,514.54
Journal of Economic Inequality,1569-1721,26.14,744.65
JOURNAL OF ECONOMIC GROWTH,1381-4338,60.12,2462.06
JOURNAL OF ECONOMIC GEOGRAPHY,1468-2702,100,7500
JOURNAL OF ECONOMIC ENTOMOLOGY,0022-0493,38.27,1134.34
JOURNAL OF ECONOMIC EDUCATION,0022-0485,7.99,512.65
JOURNAL OF ECONOMIC DYNAMICS & CONTROL,0165-1889,17.71,592.41
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,0167-2681,21.15,644.08
Journal of Economics,0931-8658,9.18,517.85
JOURNAL OF ECOLOGY,0022-0477,93.31,6386.92
Journal of East Asian Studies,1598-2408,38.71,1152.82
Journal of Eastern African Studies,1753-1055,45.31,1467.12
Journal of Earthquake and Tsunami,1793-4311,4.56,503.11
JOURNAL OF EARTHQUAKE ENGINEERING,1363-2469,66.76,3049.56
Journal of Earth System Science,0253-4126,16.97,583.01
Journal of Earth Science,1674-487X,9.01,517.04
JOURNAL OF EARLY INTERVENTION,1053-8151,45.88,1498.25
JOURNAL OF EARLY ADOLESCENCE,0272-4316,59.42,2404.89
Journal for East European Management Studies,0949-6181,3.19,501.27
Journal of East Asia and International Law,1976-9229,3.43,501.52
JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,0022-0434,37.21,1091.37
Journal of Dynamics and Differential Equations,1040-7294,39.59,1190.22
JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,1079-2724,21.39,648.15
Journal of Dual Diagnosis,1550-4263,24.94,717.4
JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,1610-0379,32.55,923.16
Journal of Drugs in Dermatology,1545-9616,25.43,728.29
JOURNAL OF DRUG TARGETING,1061-186X,19.92,623.94
JOURNAL OF DRUG ISSUES,0022-0426,26.51,753.22
JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,1773-2247,3.76,501.92
JOURNAL OF DOCUMENTATION,0022-0418,19.23,613.48
Journal of Diversity in Higher Education,1938-8926,33.98,971
JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,0193-2691,2.15,500.48
Journal of Display Technology,1551-319X,37.96,1121.47
Journal of Disability Policy Studies,1044-2073,27.75,784.01
JOURNAL OF DIGITAL IMAGING,0897-1889,16.44,576.66
Journal of Digestive Diseases,1751-2972,17.14,585.12
JOURNAL OF DIFFERENTIAL GEOMETRY,0022-040X,100,7500
JOURNAL OF DIFFERENTIAL EQUATIONS,0022-0396,61.19,2550.45
JOURNAL OF DIFFERENCE EQUATIONS AND APPLICATIONS,1023-6198,15.24,563.51
Journal of Diabetes Research,2314-6745,15.72,568.57
Journal of Diabetes Investigation,2040-1116,12.31,537.18
JOURNAL OF DIABETES AND ITS COMPLICATIONS,1056-8727,20.69,636.28
Journal of Diabetes,1753-0393,20.15,627.58
JOURNAL OF DEVELOPMENT STUDIES,0022-0388,43.15,1356.4
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,1056-263X,37.47,1101.41
Journal of Developmental Origins of Health and Disease,2040-1744,15.91,570.66
Journal of Development Effectiveness,1943-9342,41.49,1276.04
JOURNAL OF DEVELOPMENT ECONOMICS,0304-3878,52.52,1898.99
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,0196-206X,56.05,2146.6
Journal of Destination Marketing & Management,2212-571X,15.59,567.15
JOURNAL OF DERMATOLOGICAL TREATMENT,0954-6634,35.13,1012.14
JOURNAL OF DERMATOLOGICAL SCIENCE,0923-1811,83.18,4916.76
JOURNAL OF DERMATOLOGY,0385-2407,43.27,1362.15
Journal of Derivatives,1074-1240,8.87,516.42
Journal of Dental Sciences,1991-7902,11.76,533.23
JOURNAL OF DENTAL RESEARCH,0022-0345,100,7500
JOURNAL OF DENTAL EDUCATION,0022-0337,19.98,624.9
JOURNAL OF DENTISTRY,0300-5712,71.5,3526.07
JOURNAL OF DEMOCRACY,1045-5736,35.48,1024.7
Journal of Deaf Studies and Deaf Education,1081-4159,64.29,2820.04
JOURNAL OF DATABASE MANAGEMENT,1063-8016,6.96,508.94
JOURNAL OF DAIRY SCIENCE,0022-0302,99.84,7471.94
JOURNAL OF DAIRY RESEARCH,0022-0299,73.03,3690.85
Journal of Cytology,0970-9371,5.51,504.99
Journal of Cystic Fibrosis,1569-1993,44.49,1424.28
JOURNAL OF CUTANEOUS PATHOLOGY,0303-6987,31.06,876.48
JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,1203-4754,19.95,624.49
JOURNAL OF CURRICULUM STUDIES,0022-0272,27.48,777.11
Journal of Cultural Economics,0885-2545,9.48,519.39
JOURNAL OF CRYSTAL GROWTH,0022-0248,21.9,657.05
JOURNAL OF CRYPTOLOGY,0933-2790,37.96,1121.47
JOURNAL OF CRUSTACEAN BIOLOGY,0278-0372,21.42,648.7
JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,0022-0221,37.88,1118.07
Journal of Crohns & Colitis,1873-9946,43.33,1365.16
JOURNAL OF CRITICAL CARE,0883-9441,30.15,849.32
JOURNAL OF CRIMINAL LAW & CRIMINOLOGY,0091-4169,66.26,3001.69
JOURNAL OF CRIMINAL JUSTICE,0047-2352,54.61,2042.35
Journal of Credit Risk,1744-6619,12.87,541.62
JOURNAL OF CREATIVE BEHAVIOR,0022-0175,29.35,826.75
JOURNAL OF CRANIOFACIAL SURGERY,1049-2275,15.37,564.78
JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,1010-5182,48.17,1627.56
JOURNAL OF COUNSELING PSYCHOLOGY,0022-0167,63.21,2723.51
JOURNAL OF COUNSELING AND DEVELOPMENT,0748-9633,10.94,527.69
JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,1475-7516,70.82,3454.01
Journal of Cosmetic and Laser Therapy,1476-4172,31.53,890.87
Journal of Cosmetic Dermatology,1473-2130,21.05,642.28
Journal of Correctional Health Care,1078-3458,12.64,539.73
JOURNAL OF CORPORATE FINANCE,0929-1199,21.91,657.32
JOURNAL OF THE COPYRIGHT SOCIETY OF THE USA,0886-3520,4.49,503
JOURNAL OF COORDINATION CHEMISTRY,0095-8972,9.92,521.71
JOURNAL OF CONVEX ANALYSIS,0944-6532,22.08,660.29
JOURNAL OF CONTROLLED RELEASE,0168-3659,59.72,2429.28
Journal of Contingencies and Crisis Management,0966-0879,7.88,512.2
JOURNAL OF CONTINUING EDUCATION IN NURSING,0022-0124,35.22,1015.46
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,0894-1912,39.11,1169.81
Journal of Contemporary Physics-Armenian Academy of Sciences,1068-3372,0,500
Journal of Contemporary Mathematical Analysis-Armenian Academy of Sciences,1068-3623,3.95,502.17
JOURNAL OF CONTEMPORARY ETHNOGRAPHY,0891-2416,50.92,1795.42
Journal of Contemporary Criminal Justice,1043-9862,21.35,647.41
Journal of Contemporary China,1067-0564,53.82,1987.57
Journal of Contemporary Brachytherapy,1689-832X,23.44,686.26
JOURNAL OF CONTEMPORARY ASIA,0047-2336,52.84,1920.6
JOURNAL OF CONTAMINANT HYDROLOGY,0169-7722,78.08,4270.59
JOURNAL OF CONSUMER RESEARCH,0093-5301,83.14,4912.47
JOURNAL OF CONSUMER PSYCHOLOGY,1057-7408,55.77,2125.92
Journal of Consumer Behaviour,1472-0817,12.94,542.18
JOURNAL OF CONSUMER AFFAIRS,0022-0078,24.58,709.57
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,0022-006X,100,7500
JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,0143-974X,49.3,1694.4
JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY,1072-0537,9.34,518.68
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,0733-9364,40.42,1227.24
JOURNAL OF CONFLICT RESOLUTION,0022-0027,100,7500
JOURNAL OF CONCHOLOGY,0022-0019,11.69,532.67
Journal of Computer-Mediated Communication,1083-6101,100,7500
Journal of Computational and Theoretical Nanoscience,1546-1955,3.09,501.17
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,0022-0000,53.46,1962.95
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,1064-2307,1.14,500.1
Journal of Computational Science,1877-7503,41.59,1280.68
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,1000-9000,14.76,558.56
JOURNAL OF COMPUTATIONAL PHYSICS,0021-9991,100,7500
Journal of Computational and Nonlinear Dynamics,1555-1423,36.18,1051.2
JOURNAL OF COMPUTATIONAL NEUROSCIENCE,0929-5313,32.39,917.83
JOURNAL OF COMPUTATIONAL MATHEMATICS,0254-9409,35.23,1015.5
JOURNAL OF COMPUTER INFORMATION SYSTEMS,0887-4417,14.63,557.31
JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,1530-9827,26.67,757.05
Journal of Computing in Higher Education,1042-1726,26.98,764.69
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,1061-8600,51.75,1848.84
Journal of Computational Finance,1460-1559,15.04,561.38
Journal of Computational Electronics,1569-8025,27.08,767.18
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,0887-3801,54.17,2011.84
JOURNAL OF COMPUTATIONAL CHEMISTRY,0192-8651,32.12,909.41
JOURNAL OF COMPUTATIONAL BIOLOGY,1066-5277,58.27,2313.95
JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY,0363-8715,30.39,856.45
JOURNAL OF COMPUTER ASSISTED LEARNING,0266-4909,58.82,2357.04
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,0377-0427,27.16,769.05
JOURNAL OF COMPUTATIONAL ANALYSIS AND APPLICATIONS,1521-1398,1.86,500.33
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,0920-654X,46.48,1530.95
JOURNAL OF COMPUTATIONAL ACOUSTICS,0218-396X,12.2,536.39
JOURNAL OF COMPOSITE MATERIALS,0021-9983,47.46,1586.08
JOURNAL OF COMPOSITES FOR CONSTRUCTION,1090-0268,92.83,6311.79
JOURNAL OF COMPLEXITY,0885-064X,70.26,3396.76
Journal of Competition Law & Economics,1744-6414,21.71,653.66
JOURNAL OF COMPARATIVE PSYCHOLOGY,0735-7036,73.75,3769.78
Journal of Comparative Policy Analysis,1387-6988,26.13,744.26
JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY,0174-1578,57.07,2222.36
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,0340-7594,60.2,2468.55
JOURNAL OF COMPARATIVE PATHOLOGY,0021-9975,53.61,1972.91
JOURNAL OF COMPARATIVE NEUROLOGY,0021-9967,100,7500
JOURNAL OF COMPARATIVE FAMILY STUDIES,0047-2328,11.73,532.95
Journal of Comparative Effectiveness Research,2042-6305,11.95,534.57
JOURNAL OF COMPARATIVE ECONOMICS,0147-5967,20.35,630.78
Journal of Commutative Algebra,1939-0807,25.06,720.02
JOURNAL OF COMMUNITY PSYCHOLOGY,0090-4392,44.15,1406.7
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,1052-9284,23.32,683.86
JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,1064-2269,4.32,502.71
JOURNAL OF COMMUNICATIONS AND NETWORKS,1229-2370,20.59,634.69
Journal of Community Health Nursing,0737-0016,26.57,754.66
JOURNAL OF COMMUNITY HEALTH,0094-5145,30.73,866.57
JOURNAL OF COMMUNICATION DISORDERS,0021-9924,58.27,2314.45
JOURNAL OF COMMUNICATION,0021-9916,100,7500
JOURNAL OF COMBINATORIAL THEORY SERIES B,0095-8956,49.11,1683.06
JOURNAL OF COMBINATORIAL THEORY SERIES A,0097-3165,42.64,1331.14
JOURNAL OF COMBINATORIAL OPTIMIZATION,1382-6905,40.92,1249.75
JOURNAL OF COMBINATORIAL DESIGNS,1063-8539,29.2,822.58
JOURNAL OF COLLOID AND INTERFACE SCIENCE,0021-9797,16.45,576.83
JOURNAL OF COLLEGE STUDENT DEVELOPMENT,0897-5264,20.34,630.65
JOURNAL OF COLD REGIONS ENGINEERING,0887-381X,14.62,557.21
JOURNAL OF COGNITIVE NEUROSCIENCE,0898-929X,61.35,2563.82
Journal of Cognitive Psychology,2044-5911,12.71,540.35
Journal of Cognition and Development,1524-8372,43.85,1391.54
Journal of Cognitive and Behavioral Psychotherapies,1584-7101,6.61,507.86
Journal of Coatings Technology and Research,1945-9645,33.38,950.52
JOURNAL OF COASTAL RESEARCH,0749-0208,22.5,668.08
JOURNAL OF COASTAL CONSERVATION,1400-0350,17.36,587.86
Journal of CO2 Utilization,2212-9820,31.98,904.77
JOURNAL OF CLUSTER SCIENCE,1040-7278,13.37,545.76
JOURNAL OF CLINICAL VIROLOGY,1386-6532,29.37,827.19
JOURNAL OF CLINICAL ULTRASOUND,0091-2751,14.13,552.53
Journal of Clinical Sleep Medicine,1550-9389,48.41,1641.61
Journal of Clinical Research in Pediatric Endocrinology,1308-5727,30.69,865.27
JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,0271-0749,35.86,1038.9
JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,1068-9583,25.66,733.49
JOURNAL OF CLINICAL PSYCHOLOGY,0021-9762,41.57,1279.82
JOURNAL OF CLINICAL PSYCHIATRY,0160-6689,81.81,4738.07
JOURNAL OF CLINICAL PHARMACOLOGY,0091-2700,23.37,684.79
JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS,0269-4727,15.68,568.17
JOURNAL OF CLINICAL PERIODONTOLOGY,0303-6979,100,7500
Journal of Clinical Pediatric Dentistry,1053-4628,15.21,563.19
JOURNAL OF CLINICAL PATHOLOGY,0021-9746,32.16,910.49
JOURNAL OF CLINICAL ONCOLOGY,0732-183X,100,7500
JOURNAL OF CLINICAL NURSING,0962-1067,71.04,3478.03
JOURNAL OF CLINICAL NEUROSCIENCE,0967-5868,15.71,568.53
JOURNAL OF CLINICAL NEUROPHYSIOLOGY,0736-0258,17.73,592.66
Journal of Clinical Neurology,1738-6586,19.78,621.86
JOURNAL OF CLINICAL MONITORING AND COMPUTING,1387-1307,13.18,544.11
JOURNAL OF CLINICAL MICROBIOLOGY,0095-1137,32.36,916.94
Journal of Clinical Lipidology,1933-2874,34.47,988.39
JOURNAL OF CLINICAL LABORATORY ANALYSIS,0887-8013,19.37,615.6
JOURNAL OF CLINICAL INVESTIGATION,0021-9738,100,7500
JOURNAL OF CLINICAL IMMUNOLOGY,0271-9142,19.92,624.04
Journal of Clinical Hypertension,1524-6175,26.18,745.49
JOURNAL OF CLINICAL GASTROENTEROLOGY,0192-0790,34.38,985.19
JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,1380-3395,34.32,983.05
JOURNAL OF CLINICAL EPIDEMIOLOGY,0895-4356,100,7500
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,0021-972X,61.23,2553.36
JOURNAL OF CLINICAL DENSITOMETRY,1094-6950,16.53,577.73
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1537-4416,65.54,2934.47
JOURNAL OF CLINICAL BIOCHEMISTRY AND NUTRITION,0912-0009,25.82,737.23
JOURNAL OF CLINICAL APHERESIS,0733-2459,20.11,626.88
JOURNAL OF CLINICAL ANESTHESIA,0952-8180,14.56,556.62
JOURNAL OF CLIMATE,0894-8755,87.92,5573.84
JOURNAL OF CLEANER PRODUCTION,0959-6526,36.96,1081.16
JOURNAL OF CLASSIFICATION,0176-4268,22.96,676.81
Journal of Civil Engineering and Management,1392-3730,23.24,682.31
JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,0218-1266,3.8,501.97
JOURNAL OF CHROMATOGRAPHIC SCIENCE,0021-9665,17.66,591.79
JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,1570-0232,45.46,1475.43
JOURNAL OF CHROMATOGRAPHY A,0021-9673,57.78,2276.11
Journal of Choice Modelling,1755-5345,21.73,654.12
Journal of the Chinese Society of Mechanical Engineers,0257-9731,2.27,500.54
Journal of the Chinese Medical Association,1726-4901,3.57,501.68
JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS,0253-3839,3.26,501.35
JOURNAL OF THE CHINESE CHEMICAL SOCIETY,0009-4536,3.37,501.46
Journal of Child Sexual Abuse,1053-8712,15.25,563.56
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0021-9630,100,7500
JOURNAL OF CHILD NEUROLOGY,0883-0738,34.54,990.78
JOURNAL OF CHILD LANGUAGE,0305-0009,63.59,2757.14
Journal of Child Health Care,1367-4935,49.55,1709.92
Journal of Child and Family Studies,1062-1024,30.38,856
JOURNAL OF CHILD & ADOLESCENT SUBSTANCE ABUSE,1067-828X,23.2,681.55
JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,1044-5463,65.2,2902.55
JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,0717-9707,2.18,500.49
JOURNAL OF CHEMOTHERAPY,1120-009X,12.3,537.14
JOURNAL OF CHEMOMETRICS,0886-9383,66.57,3030.74
Journal of Cheminformatics,1758-2946,92.96,6331.93
Journal of Chemistry,2090-9063,1.02,500.07
JOURNAL OF CHEMICAL THERMODYNAMICS,0021-9614,49.35,1697.38
Journal of Chemical Theory and Computation,1549-9618,100,7500
JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,0268-2575,36.92,1079.81
JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN,0253-5106,1.43,500.17
JOURNAL OF CHEMICAL SCIENCES,0974-3626,6.5,507.55
JOURNAL OF CHEMICAL RESEARCH,1747-5198,1.86,500.33
JOURNAL OF CHEMICAL PHYSICS,0021-9606,51.44,1828.26
JOURNAL OF CHEMICAL NEUROANATOMY,0891-0618,13.18,544.15
Journal of Chemical Information and Modeling,1549-9596,64.03,2796.29
JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,0021-9592,5.94,506.03
JOURNAL OF CHEMICAL AND ENGINEERING DATA,0021-9568,27.53,778.48
JOURNAL OF CHEMICAL EDUCATION,0021-9584,9.35,518.71
JOURNAL OF CHEMICAL ECOLOGY,0098-0331,25.14,721.8
JOURNAL OF CHEMICAL CRYSTALLOGRAPHY,1074-1542,3.91,502.11
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,0271-678X,72.18,3598.11
JOURNAL OF CEREAL SCIENCE,0733-5210,58.2,2308.61
JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,1882-0743,23.73,691.99
Journal of Ceramic Science and Technology,2190-9385,13.04,542.96
JOURNAL OF CERAMIC PROCESSING RESEARCH,1229-9162,11.47,531.21
Journal of Central South University,2095-2899,10.07,522.51
JOURNAL OF CELL SCIENCE,0021-9533,31.74,897.31
JOURNAL OF CELLULAR PLASTICS,0021-955X,25.27,724.68
JOURNAL OF CELLULAR PHYSIOLOGY,0021-9541,36.78,1074.43
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,1582-4934,27.47,776.97
JOURNAL OF CELL BIOLOGY,0021-9525,68.2,3188.43
JOURNAL OF CELLULAR BIOCHEMISTRY,0730-2312,17.02,583.7
Journal of Cellular Automata,1557-5969,1.71,500.27
JOURNAL OF CAVE AND KARST STUDIES,1090-6924,19.06,611.04
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,0886-3350,51.96,1862.32
JOURNAL OF CATALYSIS,0021-9517,100,7500
JOURNAL OF CAREER DEVELOPMENT,0894-8453,13.99,551.27
JOURNAL OF CAREER ASSESSMENT,1069-0727,22.6,669.92
Journal of Cardiovascular Translational Research,1937-5387,30.39,856.45
JOURNAL OF CARDIOVASCULAR SURGERY,0021-9509,36.56,1065.72
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,1074-2484,20.48,632.86
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,0160-2446,22.51,668.33
Journal of Cardiovascular Nursing,0889-4655,95.67,6766.95
Journal of Cardiovascular Medicine,1558-2027,14.74,558.41
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,1097-6647,100,7500
JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,1045-3873,42.56,1327
Journal of Cardiovascular Computed Tomography,1934-5925,39.27,1176.62
Journal of Cardiothoracic Surgery,1749-8090,13.18,544.15
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,1053-0770,16.21,574.08
Journal of Cardiopulmonary Rehabilitation and Prevention,1932-7501,18.99,610.01
Journal of Cardiology,0914-5087,16.56,578.09
JOURNAL OF CARDIAC SURGERY,0886-0440,30.84,869.64
JOURNAL OF CARDIAC FAILURE,1071-9164,45.17,1459.93
JOURNAL OF CARBOHYDRATE CHEMISTRY,0732-8303,11.64,532.34
Journal of Cancer Survivorship,1932-2259,100,7500
Journal of Cancer Research and Therapeutics,0973-1482,3.8,501.98
JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,0171-5216,11.69,532.69
JOURNAL OF CANCER EDUCATION,0885-8195,30.26,852.71
Journal of Cancer,1837-9664,12.91,541.89
JOURNAL OF CANADIAN PETROLEUM TECHNOLOGY,0021-9487,58.78,2354.25
JOURNAL OF THE CANADIAN DENTAL ASSOCIATION,1488-2159,21.91,657.23
JOURNAL OF CAMEL PRACTICE AND RESEARCH,0971-6777,3.24,501.32
Journal of Cachexia Sarcopenia and Muscle,2190-5991,25.78,736.23
Journal of Business-to-Business Marketing,1051-712X,8.43,514.43
JOURNAL OF BUSINESS VENTURING,0883-9026,75.96,4019.69
JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION,1050-6519,8.52,514.82
JOURNAL OF BUSINESS RESEARCH,0148-2963,20.25,629.25
